commit_hash,commit_date,src_added,src_deleted,test_added,test_deleted,src_total_change,test_total_change,ratio_src_vs_test,balance_status
079d3fc3,2025-01-29 09:18:40,0,0,0,0,0,0,0.0,Unbalanced
2532d094,2025-02-26 13:06:23,13,61,8,8,74,16,4.625,Balanced
a81d6be4,2025-02-26 12:37:36,0,0,0,0,0,0,0.0,Unbalanced
cf2ea0a7,2025-03-04 17:33:44,4,44,0,19,48,19,2.526315789473684,Balanced
3f4b9e0e,2025-03-05 10:35:06,0,0,0,0,0,0,0.0,Unbalanced
270cdc94,2025-03-13 12:58:03,55,5,44,12,60,56,1.0714285714285714,Balanced
93c78a98,2025-03-13 15:33:34,0,0,0,0,0,0,0.0,Unbalanced
718238d1,2025-05-08 21:44:40,2,25,6,22,27,28,0.9642857142857143,Balanced
6a67eeb5,2025-05-09 07:15:48,0,0,0,0,0,0,0.0,Unbalanced
ca711d23,2025-05-20 14:34:32,1,1,0,0,2,0,2.0,Balanced
490af157,2025-05-20 12:49:12,0,0,0,0,0,0,0.0,Unbalanced
31712ab3,2025-06-23 10:18:18,52,85,99,218,137,317,0.43217665615141954,Balanced
d886efcb,2025-06-26 08:16:29,0,0,0,0,0,0,0.0,Unbalanced
5eaf1cc2,2025-07-02 15:08:43,15,6,17,23,21,40,0.525,Balanced
dba629db,2025-07-02 13:32:51,0,0,0,0,0,0,0.0,Unbalanced
969c8960,2025-07-02 15:36:48,0,0,9,57,0,66,0.0,Unbalanced
336c3252,2025-07-02 13:55:56,0,0,0,0,0,0,0.0,Unbalanced
9998def6,2025-08-05 16:43:48,23,8,18,27,31,45,0.6888888888888889,Balanced
da7d4361,2025-08-05 14:59:22,0,0,0,0,0,0,0.0,Unbalanced
d21434d3,2025-08-05 18:18:40,8,23,0,0,31,0,31.0,Unbalanced
fb4559b3,2025-08-05 16:31:49,0,0,0,0,0,0,0.0,Unbalanced
